service_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday
5_merged_131419,20160327,20160924,0,0,0,0,0,0,0
5_merged_131431,20160925,20170325,0,0,0,0,0,0,0
4_merged_131432,20160925,20170325,1,1,1,1,1,0,0
901_merged_131414,20160327,20160924,0,0,0,0,0,0,0
1_merged_131428,20160925,20170325,1,1,1,1,1,0,0
1001_merged_131436,20160925,20170325,0,0,0,0,0,0,0
301_merged_131415,20160327,20160924,0,0,0,0,0,0,0
401_merged_131433,20160925,20170325,0,0,0,0,0,0,0
2_merged_131422,20160327,20160924,0,0,0,0,0,1,0
301_merged_131427,20160925,20170325,0,0,0,0,0,0,0
201_merged_131425,20160925,20170325,0,0,0,0,0,0,0
3_merged_131429,20160925,20170325,0,0,0,0,0,0,1
101_merged_131423,20160327,20160924,0,0,0,0,0,0,0
4_merged_131420,20160327,20160924,1,1,1,1,1,0,0
1001_merged_131424,20160327,20160924,0,0,0,0,0,0,0
901_merged_131426,20160925,20170325,0,0,0,0,0,0,0
401_merged_131421,20160327,20160924,0,0,0,0,0,0,0
2_merged_131434,20160925,20170325,0,0,0,0,0,1,0
1_merged_131416,20160327,20160924,1,1,1,1,1,0,0
3204_merged_131430,20160925,20170325,0,0,0,0,0,0,0
3_merged_131417,20160327,20160924,0,0,0,0,0,0,1
3204_merged_131418,20160327,20160924,0,0,0,0,0,0,0
101_merged_131435,20160925,20170325,0,0,0,0,0,0,0
201_merged_131413,20160327,20160924,0,0,0,0,0,0,0
